system,system_name,ela_2019,math_2019,ss_2019,ela_2024,math_2024,ss_2024,ela_change,math_change,ss_change,county_income,income_quartile
10,Anderson County,29.7,35.6,34.3,34.9,35.6,42.4,5.2,0.0,8.1,55200.0,Q3 Upper-Mid
11,Clinton,43.5,54.0,51.8,50.2,51.5,64.0,6.7,-2.5,12.2,55200.0,Q3 Upper-Mid
12,Oak Ridge,37.8,37.9,42.0,47.9,54.5,57.8,10.1,16.6,15.8,55200.0,Q3 Upper-Mid
20,Bedford County,24.9,30.7,31.3,30.8,35.6,32.6,5.9,4.9,1.3,55100.0,Q3 Upper-Mid
30,Benton County,32.7,40.5,44.8,31.3,29.8,36.4,-1.4,-10.7,-8.4,42800.0,Q1 Low-Income
40,Bledsoe County,26.3,34.9,30.7,33.9,34.6,35.7,7.6,-0.3,5.0,38500.0,Q1 Low-Income
50,Blount County,31.4,37.2,41.9,37.7,39.0,43.6,6.3,1.8,1.7,60200.0,Q4 High-Income
51,Alcoa,34.0,41.1,42.6,39.0,48.5,63.0,5.0,7.4,20.4,60200.0,Q4 High-Income
52,Maryville,57.0,62.5,72.2,62.4,67.6,75.3,5.4,5.1,3.1,60200.0,Q4 High-Income
60,Bradley County,35.3,41.8,39.1,40.3,43.4,41.8,5.0,1.6,2.7,57400.0,Q4 High-Income
61,Cleveland,31.8,33.3,38.7,30.1,30.3,36.7,-1.7,-3.0,-2.0,57400.0,Q4 High-Income
70,Campbell County,24.4,30.1,19.8,28.1,32.7,25.9,3.7,2.6,6.1,37300.0,Q1 Low-Income
80,Cannon County,24.5,27.5,31.1,21.1,17.1,29.7,-3.4,-10.4,-1.4,49500.0,Q3 Upper-Mid
92,Hollow Rock - Bruceton,30.1,41.1,19.9,26.8,39.8,21.0,-3.3,-1.3,1.1,43200.0,Q1 Low-Income
93,Huntingdon Special School District,32.9,41.4,42.3,37.7,46.9,44.5,4.8,5.5,2.2,43200.0,Q1 Low-Income
94,McKenzie,34.5,45.7,48.0,33.7,43.9,60.9,-0.8,-1.8,12.9,43200.0,Q1 Low-Income
95,South Carroll,39.0,46.6,40.0,25.9,26.1,27.1,-13.1,-20.5,-12.9,43200.0,Q1 Low-Income
97,West Carroll Sp Dist,29.0,30.9,29.6,33.8,25.5,36.8,4.8,-5.4,7.2,43200.0,Q1 Low-Income
100,Carter County,29.7,35.7,39.8,34.1,37.9,41.9,4.4,2.2,2.1,44100.0,Q2 Lower-Mid
